step,order1990,order2000,order2010,order2011,order2012,order2013,order2014,order2015,order2016,order2017
265,texas,california,new-york,ohio,arizona,arizona,pennsylvania,texas,connecticut,tennessee
266,missouri,maine,california,california,indiana,indiana,florida,illinois,illinois,connecticut
267,illinois,south-carolina,texas,new-york,new-york,new-york,indiana,pennsylvania,tennessee,texas
268,hawaii,minnesota,arizona,arizona,ohio,ohio,texas,indiana,pennsylvania,indiana
269,florida,texas,tennessee,tennessee,tennessee,florida,new-york,tennessee,indiana,california
270,new-hampshire,new-jersey,kentucky,florida,florida,tennessee,tennessee,new-york,california,pennsylvania
271,north-carolina,new-york,minnesota,california,california,texas,ohio,california,new-york,illinois
272,south-carolina,california,california,kentucky,hawaii,california,california,ohio,texas,florida
273,california,tennessee,florida,minnesota,texas,hawaii,hawaii,hawaii,ohio,colorado
274,louisiana,new-hampshire,hawaii,hawaii,minnesota,minnesota,minnesota,minnesota,hawaii,new-york
275,pennsylvania,florida,texas,texas,kentucky,kentucky,kentucky,texas,colorado,minnesota
276,new-york,michigan,illinois,virginia,virginia,virginia,texas,colorado,minnesota,ohio
277,georgia,georgia,new-york,california,california,california,virginia,florida,florida,hawaii
278,texas,missouri,virginia,illinois,new-york,texas,california,kentucky,california,california
279,wisconsin,hawaii,california,new-york,illinois,new-york,colorado,california,kentucky,virginia
280,tennessee,california,michigan,pennsylvania,texas,colorado,florida,virginia,virginia,kentucky
281,california,illinois,pennsylvania,michigan,colorado,florida,new-york,georgia,georgia,georgia
282,washington,texas,maine,maine,pennsylvania,illinois,georgia,new-york,texas,texas
283,ohio,north-carolina,new-hampshire,georgia,georgia,georgia,california,california,washington,washington
284,michigan,massachusetts,new-jersey,colorado,florida,pennsylvania,illinois,texas,california,north-carolina
285,mississippi,pennsylvania,missouri,texas,michigan,california,pennsylvania,north-carolina,north-carolina,california
286,indiana,iowa,georgia,new-jersey,maine,michigan,north-carolina,washington,new-york,florida
287,florida,new-york,ohio,new-hampshire,california,new-jersey,texas,illinois,florida,new-york
288,alabama,ohio,florida,florida,new-jersey,north-carolina,michigan,pennsylvania,illinois,texas
289,maryland,california,california,california,new-hampshire,maine,new-jersey,michigan,pennsylvania,california
290,illinois,virginia,colorado,missouri,north-carolina,new-hampshire,washington,new-jersey,michigan,michigan
291,colorado,wisconsin,texas,ohio,missouri,missouri,maine,florida,california,new-hampshire
292,new-jersey,mississippi,north-carolina,north-carolina,ohio,washington,new-hampshire,california,new-jersey,new-jersey
293,connecticut,florida,new-york,washington,washington,texas,missouri,new-hampshire,texas,pennsylvania
294,california,texas,washington,new-york,california,ohio,california,maine,new-hampshire,illinois
295,new-york,maryland,california,california,texas,california,ohio,missouri,maine,maine
296,west-virginia,louisiana,maryland,maryland,new-york,new-york,florida,texas,missouri,missouri
297,virginia,california,illinois,texas,maryland,maryland,maryland,ohio,ohio,arizona
298,texas,nevada,texas,florida,florida,florida,new-york,maryland,maryland,maryland
299,pennsylvania,alabama,iowa,illinois,california,california,texas,new-york,california,ohio
300,california,indiana,florida,california,massachusetts,texas,california,california,arizona,florida
301,kansas,new-york,wisconsin,iowa,illinois,massachusetts,massachusetts,arizona,new-york,california
302,idaho,new-jersey,pennsylvania,massachusetts,iowa,iowa,iowa,massachusetts,florida,texas
303,rhode-island,illinois,california,wisconsin,texas,illinois,arizona,florida,texas,oregon
304,massachusetts,california,alabama,pennsylvania,wisconsin,wisconsin,california,texas,oregon,new-york
305,new-york,michigan,massachusetts,alabama,pennsylvania,arizona,illinois,iowa,massachusetts,south-carolina
306,oklahoma,pennsylvania,indiana,indiana,alabama,pennsylvania,wisconsin,oregon,south-carolina,massachusetts
307,utah,arizona,new-york,texas,arizona,california,oregon,california,iowa,california
308,florida,washington,michigan,new-york,california,alabama,florida,south-carolina,california,iowa
309,ohio,texas,oregon,california,indiana,indiana,texas,wisconsin,georgia,georgia
310,california,colorado,mississippi,oregon,new-york,oregon,alabama,georgia,wisconsin,texas
311,north-carolina,ohio,california,arizona,oregon,new-york,pennsylvania,illinois,tennessee,tennessee
312,texas,georgia,ohio,michigan,virginia,virginia,indiana,alabama,alabama,utah
313,illinois,florida,arizona,mississippi,georgia,florida,south-carolina,indiana,virginia,wisconsin
314,michigan,california,texas,ohio,tennessee,south-carolina,new-york,pennsylvania,indiana,north-carolina
315,missouri,kansas,tennessee,tennessee,south-carolina,georgia,georgia,virginia,texas,florida
316,georgia,new-york,south-carolina,virginia,mississippi,texas,virginia,new-york,illinois,virginia
317,california,arkansas,virginia,georgia,michigan,tennessee,tennessee,tennessee,north-carolina,indiana
318,arkansas,oklahoma,georgia,south-carolina,florida,mississippi,california,california,california,alabama
319,pennsylvania,north-carolina,arkansas,florida,ohio,california,oklahoma,north-carolina,pennsylvania,california
320,new-york,oregon,new-mexico,arkansas,texas,michigan,north-carolina,oklahoma,new-york,pennsylvania
321,minnesota,california,oklahoma,new-mexico,california,oklahoma,michigan,texas,florida,illinois
322,kentucky,connecticut,florida,california,oklahoma,ohio,mississippi,michigan,utah,new-york
323,new-jersey,tennessee,new-jersey,oklahoma,arkansas,north-carolina,ohio,florida,oklahoma,oklahoma
324,arizona,texas,california,new-jersey,new-mexico,arkansas,arkansas,mississippi,michigan,washington
