step,order2010,order2011,order2012,order2013,order2014,order2015,order2016,order2017
288,florida,new-jersey,new-jersey,north-carolina,michigan,pennsylvania,illinois,texas
289,california,california,new-hampshire,new-jersey,washington,michigan,pennsylvania,california
290,colorado,missouri,north-carolina,new-hampshire,new-jersey,florida,texas,new-hampshire
291,texas,ohio,missouri,missouri,new-hampshire,new-jersey,michigan,michigan
292,north-carolina,north-carolina,ohio,washington,maine,new-hampshire,california,pennsylvania
293,new-york,washington,washington,texas,missouri,california,new-jersey,illinois
294,washington,new-york,texas,ohio,california,maine,new-hampshire,new-jersey
295,california,california,california,california,ohio,missouri,maine,maine
296,maryland,texas,new-york,new-york,florida,texas,missouri,missouri
297,illinois,maryland,maryland,maryland,maryland,ohio,ohio,arizona
298,texas,florida,florida,florida,new-york,maryland,maryland,florida
299,iowa,illinois,california,california,texas,new-york,california,maryland
300,florida,california,massachusetts,texas,california,california,arizona,ohio
301,wisconsin,iowa,illinois,massachusetts,massachusetts,arizona,new-york,california
302,pennsylvania,massachusetts,iowa,iowa,arizona,massachusetts,florida,texas
303,california,wisconsin,texas,illinois,iowa,florida,texas,oregon
304,alabama,pennsylvania,wisconsin,wisconsin,california,texas,oregon,new-york
305,massachusetts,alabama,pennsylvania,arizona,illinois,iowa,massachusetts,south-carolina
306,indiana,texas,alabama,alabama,oregon,oregon,south-carolina,massachusetts
307,new-york,indiana,arizona,pennsylvania,wisconsin,california,iowa,georgia
308,michigan,new-york,california,california,florida,south-carolina,california,california
309,oregon,oregon,indiana,oregon,alabama,georgia,georgia,iowa
310,mississippi,california,oregon,indiana,texas,wisconsin,wisconsin,texas
311,california,arizona,new-york,new-york,pennsylvania,illinois,tennessee,tennessee
312,ohio,mississippi,virginia,florida,south-carolina,alabama,alabama,utah
313,arizona,michigan,georgia,virginia,indiana,virginia,virginia,florida
314,texas,tennessee,tennessee,south-carolina,georgia,indiana,texas,north-carolina
315,tennessee,virginia,south-carolina,texas,new-york,pennsylvania,indiana,virginia
316,south-carolina,ohio,mississippi,georgia,virginia,tennessee,illinois,wisconsin
317,virginia,georgia,florida,tennessee,tennessee,new-york,north-carolina,alabama
318,georgia,south-carolina,michigan,mississippi,california,california,california,indiana
319,arkansas,florida,texas,michigan,oklahoma,north-carolina,pennsylvania,california
320,new-mexico,new-mexico,ohio,oklahoma,north-carolina,oklahoma,new-york,pennsylvania
321,oklahoma,arkansas,california,california,mississippi,texas,florida,illinois
322,florida,oklahoma,oklahoma,north-carolina,michigan,florida,utah,new-york
323,new-jersey,california,arkansas,ohio,ohio,michigan,oklahoma,oklahoma
324,california,texas,new-mexico,arkansas,texas,mississippi,michigan,washington
325,north-carolina,new-jersey,north-carolina,new-mexico,arkansas,utah,california,texas
326,louisiana,north-carolina,new-jersey,new-jersey,new-jersey,ohio,arkansas,california
327,illinois,louisiana,louisiana,louisiana,new-mexico,arkansas,mississippi,arkansas
328,texas,new-york,california,california,california,california,ohio,michigan
329,kansas,illinois,new-york,texas,louisiana,louisiana,texas,nevada
330,new-york,kansas,kansas,new-york,florida,new-jersey,washington,colorado
331,pennsylvania,california,illinois,utah,utah,new-mexico,louisiana,ohio
332,california,minnesota,texas,kansas,new-york,texas,new-jersey,mississippi
333,minnesota,pennsylvania,minnesota,florida,minnesota,minnesota,colorado,minnesota
334,florida,texas,florida,minnesota,kansas,washington,new-mexico,florida
335,missouri,florida,pennsylvania,illinois,california,new-york,minnesota,new-jersey
336,california,utah,utah,pennsylvania,washington,kansas,nevada,louisiana
337,texas,california,california,california,illinois,colorado,florida,new-mexico
338,connecticut,washington,washington,washington,texas,california,california,california
339,utah,missouri,missouri,texas,pennsylvania,nevada,new-york,texas
340,ohio,connecticut,texas,colorado,colorado,illinois,kansas,new-york
341,washington,kentucky,connecticut,missouri,nevada,florida,texas,kansas
342,kentucky,new-york,new-york,california,california,pennsylvania,illinois,georgia
343,michigan,ohio,colorado,connecticut,florida,california,california,california
344,new-york,california,kentucky,nevada,missouri,texas,georgia,arizona
345,california,michigan,california,new-york,georgia,georgia,pennsylvania,pennsylvania
346,nevada,texas,ohio,kentucky,new-york,missouri,missouri,illinois
347,illinois,colorado,nevada,florida,texas,new-york,arizona,florida
348,georgia,georgia,georgia,georgia,kentucky,kentucky,north-carolina,north-carolina
349,colorado,nevada,michigan,ohio,connecticut,california,florida,texas
350,texas,florida,florida,maryland,ohio,north-carolina,texas,missouri
351,maryland,maryland,maryland,michigan,maryland,connecticut,california,california
352,massachusetts,illinois,massachusetts,texas,california,arizona,kentucky,kentucky
353,pennsylvania,massachusetts,california,california,north-carolina,maryland,new-york,new-york
354,florida,california,virginia,massachusetts,massachusetts,ohio,maryland,virginia
355,california,virginia,north-carolina,virginia,virginia,massachusetts,virginia,maryland
356,new-jersey,north-carolina,illinois,north-carolina,michigan,virginia,massachusetts,massachusetts
357,virginia,pennsylvania,texas,illinois,arizona,texas,ohio,ohio
358,indiana,new-jersey,pennsylvania,arizona,texas,florida,connecticut,connecticut
359,north-carolina,indiana,new-jersey,new-jersey,florida,michigan,michigan,texas
360,new-york,texas,arizona,pennsylvania,california,california,california,california
361,wisconsin,new-york,indiana,california,illinois,illinois,texas,michigan
362,west-virginia,arizona,new-york,indiana,new-jersey,new-jersey,tennessee,florida
363,arizona,wisconsin,california,new-york,indiana,indiana,indiana,tennessee
364,california,california,wisconsin,florida,pennsylvania,tennessee,florida,indiana
365,texas,west-virginia,tennessee,texas,new-york,new-york,new-jersey,nebraska
366,tennessee,tennessee,florida,tennessee,tennessee,pennsylvania,nebraska,new-jersey
367,nebraska,nebraska,west-virginia,wisconsin,nebraska,texas,illinois,california
368,ohio,florida,texas,nebraska,wisconsin,nebraska,california,washington
369,rhode-island,california,nebraska,california,california,california,new-york,new-york
